guid,name,steamid
FF011000010ACD5A36,Empis,76561198141495862
FF0110000107BDF5C5,Dickyota,76561198090155461
FF011000010AE5043F,Zach,76561198143046719
FF01100001047BB117,GioK | MonsterVR,76561198035480855
FF011000011A807775,Vandagriff,76561198404892533
FF01100001467C56CA,Chur Bolos,76561199142819530
FF011000011787F6D1,Spoderpan,76561198355052241
FF011000011186E44E,Mopee,76561198254318670
FF0110000102BF9820,Leif,76561198006376480
FF011000010E295F4D,Andersen | Envy,76561198197858125
FF011000014479B76F,nlloyd,76561199109093231
FF011000010A239382,Janes46,76561198130369410
FF011000010598E30E,Dizzy,76561198054171406
FF011000010A2567A0,Bigman,76561198130489248
FF01100001476D79F2,mh398,76561199158622706
FF011000014109C29E,COOCHIE,76561199051424414
FF0110000131D44D89,skot822,76561198796262793
FF0110000145740A87,Peek | TGR x WSC,76561199125498503
FF0110000149B64EB6,Fendel | TRYHARD | FDLVisuals,76561199196950198
FF01100001343E8816,Toothless,76561198836779030
FF0110000147707BA2,leo holms / 4,76561199158819746
FF011000010622AD89,Cantrell,76561198063201673
FF01100001484EAC54,Miroz | THMX Co.,76561199173381204
FF011000013EC7C7CA,Aiden | MXB-Mods | AJP x FXR,76561199013545930
FF011000010EB5F94C,Cole | Phil's x Atlas x BLco,76561198207072588
FF0110000104475139,donutmx,76561198032048441
FF011000010F74BFD7,Sackie,76561198219575255
FF011000010C504989,Tharmas \ WAXED,76561198166854025
FF01100001417A71D3,Ptrick | Twisted Development,76561199058809299
FF011000010889A668,KodyNorris11,76561198103504488
FF01100001320281C4,AdamErts | AceMoto,76561198799290820
FF0110000105FEC5A1,Corentin-969 || Brotech Family,76561198060848545
FF011000013D128A10,Burgerbark,76561198984890896
FF011000010EC3C854,Toona,76561198207977556
FF011000014327E038,C.Young | TSCZ x Swanlabs,76561199086952504
FF01100001344DE615,agaananta,76561198837786133
FF011000013BE9A54E,Lewis | Privateer,76561198965433678
FF011000010DF87E59,kronos,76561198194654809
FF01100001056A94CC,Kresten,76561198051136716
FF0110000144D38E89,NaimThr,76561199114981001
FF011000011219F2D0,Jake Toney - Privateer LFT,76561198263956176
FF011000013C7B410A,BK | Westeffex Kawasaki,76561198974976266
FF011000011BDDC9FC,J4M3S,76561198427785724
FF011000013722778B,Mattx,76561198885271435
FF011000010EB8BDF1,sluggator,76561198207254001
FF011000014ADD3685,Ghost,76561199216277125
FF01100001097FFCCD,Victor.G | Mostra x Kenny,76561198119648461
FF0110000104EDB611,Aspire,76561198042953233
FF01100001040F997D,Iago Santana,76561198028396925
FF011000010E3C08D2,Jmoney,76561198199081170
FF011000014463B613,kuakky | weenie warriors,76561199107651091
FF01100001147E96FB,Andrew,76561198304106235
FF011000011B7B23B4,Silvio | Pedroza Racing #19,76561198421320628
FF011000010E349C73,Colby l WDOOFS Racing,76561198198594675
FF0110000106B2067C,Rez I THMX,76561198072596092
FF0110000145440168,ZAMENSKY,76561199122350440
FF01100001348A3775,?,76561198841739125
FF011000010DDA6B05,Moto237,76561198192683781
FF0110000105D86B29,FlowMX | Full_Send,76561198058335017
FF01100001460D5AD6,Gingi / Prestige genuine,76561199135546070
FF011000013D2BEE21,GRIGIS,76561198986554913
5D9EAB77,Unknown,
FF0110000141902B57,MLG,76561199060233047
FF0110000109AB406B,grant,76561198122483819
FF01100001403F78D7,Sin_cityX,76561199038167255
FF011000010D106FDA,Mills | HSM,76561198179446746
FF0110000114770550,MOTOPATROL,76561198303610192
FF011000011B4D0ACA,Bee | THMX Co.,76561198418299594
FF01100001415A72FA,Jarod Williams,76561199056712442
FF011000014A73B904,P?ja,76561199209363716
FF0110000114592F36,Mini | MXB-Shop,76561198301654838
FF0110000105ED27DF,*RL*Tylyn,76561198059694047
FF0110000110AADEDA,Mrbangbang69,76561198239899354
FF01100001164CD0DB,Mx_247_Mx,76561198334398683
FF01100001098BCD06,Josh Doble,76561198120422662
FF0110000117BFA95B,ENERGY_Frxzy,76561198358702427
FF011000014978FE1D,Waevo | AceMoto,76561199192931869
FF0110000145E86354,Flora,76561199133123412
FF0110000103C976D7,WANKE | THAIROCKEN RACING,76561198023800535
FF0110000109775844,MOTIA | Hog Riders,76561198119082052
FF011000010E1801DD,Meow,76561198196720093
FF01100001452E3F04,Baron | MotoFactory,76561199120924420
FF011000014273E80B,Sunbelt x BlackLabel,76561199075158027
FF0110000145E107AC,Meatballz,76561199132641196
FF011000010CA037B5,srg_323,76561198172092341
FF0110000132CE39A0,SyNc Envy | Aunt Jemima Racing,76561198812641696
FF011000013F079113,GoGo \ Privateer,76561199017726227
FF0110000145634ABD,Donovan - LNI Racing,76561199124400829
FF011000014AE0E8E9,chair,76561199216519401
FF011000013739771F,Rasmus,76561198886778655
FF011000010C5F9B7E,Keily80,76561198167858046
FF011000013D971523,Uncle Nasty waxedracing.com,76561198993577251
FF0110000110D644BA,Chase | BCP x DEPT,76561198242743482
FF01100001098FDB14,Viktor Vattenp?l,76561198120688404
FF01100001189309CE,Brndn,76561198372555214
FF011000010A288A8A,Fafalito | Fr S.,76561198130694794
FF0110000102B6AD99,Slightlyhigh,76561198005792153
FF01100001013DC40C,Matt Clark,76561197981090828
FF011000010C7EFD9D,Some_Doofus,76561198169914781
FF011000010A9D3DD2,Wyatt Bozarth | S&S X Canvas MX,76561198138342866
FF0110000143E2881A,DrXavoz,76561199099185178
FF0110000138120066,valid.57,76561198900969574
FF011000010E874011,Deegan Carlini,76561198204010513
FF011000013D9B88B3,Hebrew Hammer,76561198993868979
FF011000013241BE30,iTzMrNye,76561198803435056
FF0110000145E74FA1,Hunter Savage I JMC Racing,76561199133052833
FF0110000100015D6B,teeds,76561197960355179
FF011000014AF98ED1,Finn | TSCZ x SWANLABS,76561199218134737
FF011000010675C6AF,VurB,76561198068647599
FF01100001463363CF,JazzaR,76561199138038735
FF011000013FFD91CB,Goosefans,76561199033848267
FF0110000101842039,fersk1ng,76561197985701945
FF011000010BD11213,Silly Goose | KMC,76561198158516755
FF01100001416E5097,merffff | Meta Kawasaki,76561199058014359
FF011000013B144F48,jxdi,76561198951452488
FF0110000104741727,Pronefish,76561198034982695
FF0110000140968334,Jez | Privateer,76561199043871540
FF0110000132024D07,Lynix,76561198799277319
FF01100001067ABD8F,Husky_Slim | PornHub Husqvarna,76561198068972943
FF0110000102B80B23,Newi,76561198005881635
FF0110000145A0675F,TBar,76561199128405855
FF0110000106230E27,Turbine,76561198063226407
FF011000010C5FDEC9,natemoto103,76561198167875273
FF011000011B40606E,AccidentalClick I,76561198417469550
FF011000013EAE3EFB,12.Callum | Lee Racing,76561199011872507
FF0110000136DCDFD7,chad | SIGMA FACTORY RACING,76561198880710615
FF01100001475B3327,Banana | THMX Co.,76561199157424935
FF011000013D5470D4,SC1 Expert,76561198989209812
FF01100001176E9B1B,Dennis Kristiansen,76561198353390363
FF0110000114AF16A2,Carma / PC Factory,76561198307284642
FF0110000113EB4AFE,Dope as Dilly,76561198294452990
FF0110000108D28104,Dotan,76561198108279044
FF011000013D275016,slxyaa,76561198986252310
FF011000011786216E,Kill3r,76561198354932078
FF01100001183CF396,Stepan,76561198366913430
FF011000014875CEF2,rylan18,76561199175945970
FF0110000104436488,Roes,76561198031791240
FF011000014C4E000A,?cho,76561199240445962
FF011000014343C5A1,Minedas,76561199088780705
FF011000014B7472F5,Hubertfr | OSA RACING,76561199226188533
FF011000014B607891,Odonata201 | Hayden Racing,76561199224879249
FF011000014AE07216,eljay,76561199216488982
FF011000011879FF3B,rebeaF,76561198370914107
4037D9A1,Unknown,
FF0110000145413FC5,jay stewart,76561199122169797
FF01100001439AF90D,Ace | SBN,76561199094495501
FF0110000143765E54,CJ,76561199092096596
FF011000010527F68E,fastboi,76561198046770830
FF0110000112B62D08,Jojo Siwa | Elemental Designs C,76561198274194696
FF011000013E8D2F17,Marco | Ryder Racing,76561199009705751
FF01100001038FB22A,Akra^ =),76561198020014634
FF011000013329DBF6,Beast | MotoMart,76561198818647030
FF011000010C45EF05,susudu45,76561198166175493
FF0110000147E09F12,Jaydan | OT Racing,76561199166168850
FF0110000145ACFDAF,Luka | Privateer,76561199129230767
FF011000010AC25F23,CoorsLight Guru,76561198140776227
FF011000010B56BCBB,erikpeters195,76561198150499515
FF01100001171167D1,Rally Rat LD,76561198347282385
FF01100001020127B1,sfoster,76561197993895857
FF0110000105C9D3C0,Squirt,76561198057378752
FF0110000149C96CA5,Bluefish / Bob'd Out Motosports,76561199198203045
FF011000011681D6F3,Laurent DUMEAUX | KDR x KMXDeca,76561198337873651
FF0110000107F7E438,Jhutt,76561198093952056
FF011000010B7CFAFE,Motodon,76561198153005822
FF0110000102998D11,EP1C,76561198003883281
FF01100001333AA637,Jim Bob,76561198819747383
FF011000014B15C739,Andy | STR,76561199219984185
FF0110000117C35B43,vanesyelo,76561198358944579
FF0110000141E5B44C,jordan_.702 on TT,76561199065838668
FF01100001362CDD7A,Toby,76561198869175674
FF011000010EC82AF3,yurrr,76561198208264947
FF011000014B5056CB,minkey037,76561199223822027
FF011000014C70F552,Colorse | Low Signal Decals,76561199242736978
FF0110000111D16431,Jaydee,76561198259201073
FF0110000113D88555,isobad,76561198293222741
FF011000010CCBB5C1,FURY,76561198174942657
FF0110000116962822,lahorse11,76561198339205154
FF0110000140E039EA,xdenz00,76561199048702442
FF011000010C130CD5,Karlsson,76561198162840789
FF011000013BD002BD,ChampMX,76561198963753661
FF0110000149F597D2,aidanrides,76561199201097682
3616D511,Unknown,
FF011000010BA3B33A,slowboy,76561198155543354
FF01100001056E6A4E,Lewis,76561198051387982
7DDA6A9A,Unknown,
FF01100001046B09C0,Dylan180,76561198034389440
FF011000014C92E9F0,WifiJify | Wonder Bread Boys,76561199244962288
FF011000010685AECC,JaaJ_27,76561198069690060
FF01100001076E56B9,A.L,76561198084937401
FF0110000104685053,myownname5,76561198034210899
FF0110000116D55459,Will Snow | NMR,76561198343345241
FF011000010D1811C2,Bread,76561198179946946
FF0110000146932041,Wobert,76561199144312897
FF0110000134C46B14,BMH899,76561198845553428
FF0110000111EE78DA,Twoshot | Blitz.co,76561198261106906
FF0110000114B57B13,Kaleb,76561198307703571
FF01100001086B4FEB,NAT PETERSON,76561198101516267
FF0110000149542088,Hardaway,76561199190515848
FF011000010AFFB837,?Lingwapzz,76561198144796727
FF011000013B4C67F4,Big Daddy Degar,76561198955128820
FF0110000110AB07E6,Motoxtribe,76561198239909862
FF0110000146C097CA,Apples MX,76561199147292618
FF01100001320D8237,B-Kon | [B1KESTAR],76561198800011831
FF011000010CE9168B,Cobra,76561198176867979
FF011000014B03F2ED,Russpaa | AJP x FXR,76561199218815725
FF01100001474961D4,zrbolhuis,76561199156257236
FF0110000148785E5E,Seth,76561199176113758
FF01100001056E1DF8,G$ | System Decal,76561198051368440
FF011000014806CD48,Hunt Claps | Stateline,76561199168671048
FF01100001462A03B1,Twitch Capture,76561199137424305
FF01100001161EB082,Barber,76561198331375746
FF011000013D3583C9,Yuras | Burbmoto,76561198987183049
FF0110000109DE6601,VulcanoDilla,76561198125835777
FF01100001450A9005,Talexus | MCLille Racing,76561199118585861
FF0110000146FC409E,KYLE WS222,76561199151202462
FF0110000112081A42,Kahzey | TGR,76561198262786626
FF0110000144940C5B,Powelly,76561199110818907
FF011000010328DCE3,Oberg,76561198013275363
FF011000010AF7F8D1,DeellRide,76561198144288977
FF0110000100D10E2F,kimber,76561197973966383
FF011000014D98572A,Murvai | Digital Designs x Smar,76561199262095146
FF01100001155EAEA9,Tonga,76561198318792361
FF0110000106578B56,Ben McLeod | CBL Gaming,76561198066666326
FF011000011702FEDF,Crump-HoleshotDesignsCo,76561198346338015
FF0110000136D99670,trickery,76561198880495216
FF01100001364E2B9A,no bitches?,76561198871358362
FF0110000104E6834D,Mangee,76561198042481485
FF0110000135943A24,Buttery,76561198859172388
FF011000011A2FEB41,thibaud petitpas,76561198399613761
FF011000010C915B79,Missglueck,76561198171118457
FF0110000103BCBF22,ecureuil saucer,76561198022967074
FF011000010A1BC59A,Gin | KBell Racing,76561198129857946
FF011000013E154565,Rikys,76561199001847141
FF0110000145D22279,SLAM/ GOOD OL BOYS,76561199131665017
